First name,Last Name,School,Category,PhD,Provided Keywords,Abstract 1,Abstract 2,Abstract 3,Random,Skip
Kevin,Murphy,USC,Finance,No,,"Finance theory says that companies in declining industries with excess capacity should transfer capital to other sectors of the economy to preserve value, yet this has proven very difficult for firms in such situations to do. The authors showcase a particularly successful case involving defense contractor General Dynamics and explain why that company was so successful at something very few other companies have achieved.

Faced with very poor prospects for the defense industry, GD increased the wealth of its shareholders by more than 500% in the three years from January 1, 1990, when sharp defense spending cuts were confirmed after the end of the Cold War, to January 1993. The downsizing, restructuring, and partial liquidation of General Dynamics was a remarkable economic achievement in three important respects. First, managing effectively in a declining business environment required dramatic changes in traditional corporate policies, particularly compensation policies. Second, GD's operating changes had to be closely coordinated with a series of complicated corporate financial transactions that were unprecedented for GD. Third, senior management had to confront extraordinary public relations, political, and labor union challenges. The successful plan involved providing high-powered and front-loaded equity incentives for the (largely new) GD senior management team, asset sales, radically lower capex budgets, sharply higher dividends, and aggressive share repurchases. And although many GD employees lost their jobs (or went to different companies), GD shareholders, including many of those same GD employees, ended up handsomely rewarded.","We study relationships between parties who have different preferences about how to tailor decisions to changing circumstances. Our model suggests that relational contracts supported by formal contracts may achieve relational adaptation that improves on adaptation decisions achieved by formal or relational contracts alone. Our empirics consider revenue-sharing contracts between movie distributors and an exhibitor. The exhibitor has discretion about whether and when to show a movie, and the parties frequently renegotiate formal contracts after a movie has finished its run. We document that such ex post renegotiation is consistent with the distributor rewarding the exhibitor for adaptation decisions that improve their joint payoffs.","We provide fresh evidence regarding the relation between compensation consultants and CEO pay. First, firms that employ consultants have higher-paid CEOs—this result is robust to firm fixed effects and matching on economic and governance variables. Second, while this relation is partly due to consultant conflicts of interest, it is largely explained by the impact consultants have on the composition and complexity of CEO pay plans; notably, this impact fully mediates the consultant-CEO pay relation. Third, firms with higher-paid CEOs and more complex pay plans are more likely to hire a consultant. Last, Say-on-Pay voting patterns suggest shareholders view positively the advice consultants provide, but only when consultants provide no other services. We also find suggestive evidence of boards “layering” new equity incentive plans over existing ones, thereby increasing the impact of composition and complexity on CEO pay beyond the premium the CEO would demand for bearing additional compensation risk.",,
Robert,Dittmar,University of Michigan,Finance,No,Asset pricing,"We conduct a systematic examination of the returns to initial coin offerings (ICOs) throughout the hype cycle using hand-compiled data on all trading ICOs from 2014 to 2019. We demonstrate that ICOs persistently outperform non-ICO cryptocurrencies during both the market boom and crash. We then uncover significant return determinants in the cross section along both informational and behavioral dimensions, and document significant differences in their return association in the post-hype period from late 2018 onward. Our results position ICOs as a unique asset class with features from both reward-based crowdfunding and equities, and the crowdfunding features become more dominant post-hype.","We investigate the empirical implications of the investment-based model of asset pricing for the Hansen-Jagannathan and Kozak-Nagel-Santosh discount factors in the linear span of equity returns. We find that the stochastic discount factors satisfying the Euler equation for equity returns cannot satisfy the Euler equation for investment returns because returns on corporate investment covary inversely with sources of equity risk relative to returns on equity. As a result, the model fails to replicate the level of the risk premium. Our results suggest that joint restrictions on the optimality of investment and consumption pose stringent conditions for candidate production models.","We propose a novel method of estimating default probabilities using equity options data. The resulting default probabilities are highly correlated with estimates of default probabilities extracted from CDS spreads, which assume constant losses given default. Additionally, the option-implied default probabilities are higher in bad economic times and for firms with poorer credit ratings and financial positions. A simple inferred measure of loss given default is related to underlying business conditions, and varies across sectors; the time series properties of this measure are similar after controlling for liquidity effects.",,
Mitch,Warachka,Chapman University,Finance,No,"Innovation
Value Creation
Culture","A large literature reports that proximity influences investment. We extend the measurement of proximity beyond distance and report that air travel reduces local investment bias. This result is confirmed using the initiation of connecting flights through recently opened air hubs because investment at destinations served by these connecting flights increases after, not before, their initiation. Air travel also broadens the investor base of firms and lowers their cost of equity by approximately 1%. Overall, air travel improves the diversification of investor portfolios and lowers the cost of equity for firms.","We find evidence of taste‐based discrimination against rival affiliations in the online market for rental accommodation. Airbnb hosts in college towns increase their listing prices more than hotels on home football games against rival teams. By setting listing prices too high as a result of their affiliation bias against rival fans, hosts experience a 30% reduction in rental income. The overestimation of demand, the cost (inconvenience) of temporary relocation, and the likelihood of incurring damage cannot explain the inverse relation between listing price increases, and rental incomes that is limited to games against rival teams. Instead, greater financial constraints are associated with smaller listing price increases, and higher rental incomes on rival games, suggesting that taste‐based discrimination is a luxury.","Informal risk sharing within social networks and formal financial contracts both enable households to manage risk. We find that financial contracting reduces participation in social networks. Specifically, increased crop insurance usage decreased local religious adherence and congregation membership in agricultural communities. Our identification utilizes the Federal Crop Insurance Reform Act of 1994 that doubled crop insurance usage nationally within a year, although changes in usage varied across counties. Difference-in-Difference and Spatial First Difference tests confirm that households substituted insurance for religiosity. This substitution was associated with reductions in crop diversification and crop yields, indicating an increase in moral hazard.",,
William,Mullins,UC San Diego,Finance,No,"Finance, Corporate and Household finance, political economy","We find evidence of selective exposure to confirmatory information among 400,000 users on the investor social network StockTwits. Self-described bulls are 5 times more likely to follow a user with a bullish view of the same stock than self-described bears. Consequently, bulls see 62 more bullish messages and 24 fewer bearish messages than bears over the same 50-day period. These “echo chambers” exist even among professional investors and are strongest for investors who trade on their beliefs. Finally, beliefs formed in echo chambers are associated with lower ex-post returns, more siloing of information and more trading volume.","We use party-identifying language—like “liberal media” and “MAGA”—to identify Republican users on the investor social platform StockTwits. Using a difference-in-difference design, we find that partisan Republicans remain relatively unfazed in their beliefs about equities during the COVID-19 pandemic, while other users become considerably more pessimistic. In cross-sectional tests, we find Republicans become relatively more optimistic about stocks that suffered the most during the COVID-19 crisis, but more pessimistic about Chinese stocks. Finally, stocks with the greatest partisan disagreement on StockTwits have significantly more trading in the broader market, explaining 28% of the increase in stock turnover during the pandemic.","Using a survey of 800 Chief Executive Officers (CEOs) in 22 emerging economies, we show that CEOs' management styles and philosophies vary with the ownership and governance structure of their firms. Founders and CEOs of firms with greater family involvement display a greater stakeholder focus, and feel more accountable to employees and banks than to shareholders. They also have a more hierarchical management approach, and see their role as maintaining the status quo rather than bringing about change. In contrast, CEOs of non-family firms emphasize shareholder-value-maximization. Finally, firm-level variation in ownership is as important in explaining management philosophies as cross-country or industry-level differences.",,
Stan,Markov,UT Dallas,Accounting,No,"social media, big data, market efficiency,\","We examine how increased competition stemming from an innovation in financial technology influences sell-side analyst research quality. We find that firms added to Estimize, an open platform that crowdsources short-term earnings forecasts, experience a pervasive and substantial reduction in consensus bias and a limited increase in consensus accuracy relative to matched control firms. Long-term forecasts and investment recommendations remain similarly biased, alleviating the concern that the documented reduction in bias is a response to broad economic forces. At the individual analyst level, we find that bias reduction is more pronounced among close-to-management analysts; and that more biased analysts respond by reducing their coverage of Estimize firms. The collective evidence suggests that competition from Estimize improves sell-side research quality by discouraging strategic bias.","We use employee predictions of their companies' six-month business outlook from Glassdoor.com to assess the information content of employee social media disclosures. We find that average employee outlook is incrementally informative in predicting future operating performance. Its information content is greater when the disclosures are aggregated from a larger, more diverse, more knowledgeable employee base, consistent with the wisdom of crowds phenomenon. Average outlook predicts bad news events more strongly than good news events, suggesting that employee social media disclosures are relatively more important as a source of bad news. Consistent with the organizational theory, we find systematic differences in the quantity and nature of the information in employee disclosures when the disclosures are grouped based on employee attributes and job responsibilities. Finally, average outlook predicts future returns of firms that attract less attention by analysts and investors, suggesting that investors in these firms use outlook inefficiently.","We study the effects of social media on the informativeness of retail trading. Our identification strategy exploits the editorial delay between report submission and publication on Seeking Alpha, a popular crowdsourced investment research platform. We find the ability of retail order imbalances to predict the cross-section of stock returns and cash-flow news increases sharply in the intraday post-publication window relative to the pre-publication window. The findings are robust to controlling for report tone and stronger for reports authored by more capable contributors. The evidence suggests that recent technology-enabled innovations in how individuals share information help retail investors become better informed.",,
Bryce,Schonberger,University of Colorado Boulder,Accounting,No,Network science and metrics; Information diffusion; Causal inference,"Existing research finds evidence in favor of a bidirectional causal relation between disclosure and features of the firm’s information environment, such that disclosure is both a determinant and an outcome of a firm’s information environment. Building on this idea, we use data envelopment analysis (DEA) to develop measures of the mapping between a firm’s portfolio of disclosures and the quality of the firm’s information environment. This approach shows that disclosure mapping scores vary predictably across firms based on sources of disclosure costs and display substantial persistence across time, consistent with enduring features of the operating environment determining firms’ disclosure strategies. Using these disclosure mapping scores, we examine whether unexpected shifts in the information environment from sources external to the firm, such as a loss of analyst coverage due to a brokerage closure, result in transitory or more permanent shifts in the firm-level mapping between disclosures and the information environment. Evidence from these tests suggests that firms dynamically adjust their disclosure portfolios toward a target mapping between disclosures and the information environment in response to events that move firms away from their target.","This study assesses whether the accrual-generating process is adequately described by a linear model with respect to a range of underlying determinants examined by prior literature. We document substantial departures from linearity across the distributions of accrual determinants, including measures of size, performance, and growth. To incorporate non-linear relations, we employ a recently developed multivariate matching approach (entropy balancing) to adjust for determinants in place of relying on a linear model. Entropy balancing identifies weights for the control sample to equalize the distribution of determinants across treatment and control samples. In simulations drawing random samples from deciles where a linear model displays poor fit, we find that entropy balancing significantly improves accrual model specification by reducing coefficient bias relative to linear and propensity-score matched models …","We exploit the US shale oil revolution in the early 2010s as a plausibly exogenous shock to investment opportunities to explore managers’ disclosure incentives when faced with an uncertain investment decision. We find that affected firms in the oil and gas (O&G) industry increase capital expenditure forecasts while decreasing earnings forecasts relative to similar, capital-intensive firms outside of the O&G industry. Consistent with these disclosure patterns reflecting incentives to encourage the incorporation of private information into prices that is useful for the investment decision, cross-sectional tests show that these disclosure changes are concentrated at firms with greater expected benefits to learning from prices and that disclosing firms subsequently experience increases in both investment-q sensitivity and adverse selection costs. On the other hand, we also find that a subset of O&G firms increases their provision of earnings forecasts during the shale oil revolution consistent with a financing motive. This subsample displays an increase in equity financing combined with a decline in investment-q sensitivity, consistent with firms trading off a benefit of improved stock liquidity against less informative prices. Taken together, our evidence points to distinct cost and benefit tradeoffs in managers’ disclosure decisions under learning and financing incentives in the presence of investment opportunities.",,
Christina,Synn,American University,Accounting,No,"Corporate disclosure, financial reporting, investor sentiment and beliefs","We investigate the role of financial reporting quality in reducing a firm’s over-and underleverage problem. Prior research suggests that due to financing frictions arising from adverse selection concerns, firms’ observed capital structure deviates from the optimal. Building off a large literature that provides evidence that financial reporting quality can mitigate adverse selection concerns and reduce financing frictions, we find evidence that a firm’s deviation from models of optimal capital structure is decreasing in financial reporting quality and that these results are larger in magnitude for the overleverage side.",,,,
Shane,Heitzman,USC,Accounting,No,"financial crime, tax","Theory provides competing predictions on whether informed investors immediately trade on newly generated private information. We address this question using Securities and Exchange Commission–mandated disclosures to identify the dates when new private information about target or acquiring firm value is created. We find that informed investors immediately trade on new private information in both the stock and options markets. Next, we investigate which factors drive the speed of these investors’ trading reactions to newly generated private information. We show that cross-sectional variation in the speed of their trading reactions can be explained by the number of privately informed investors, institutional ownership, the expected profits from informed trading and associated risk of attracting the attention of enforcement agencies, and the existence of public information about the acquisition deal.","We use financial disclosures to develop a novel proxy for net operating loss carryforward (NOL) tax benefits. This approach more accurately identifies firms with tax losses, more precisely measures the tax loss, and better predicts reductions in future taxes than existing proxies. We derive a prediction model, which future researchers can employ to better approximate the NOL tax benefits based on readily available financial data. We also demonstrate how NOL nonlinearity affects measurement of corporate tax status. By proposing a new measure and demonstrating trade-offs across competing proxies, we contribute to the work in public economics, corporate finance, and tax accounting that examines the responsiveness of the business sector to corporate tax incentives.","We examine the relation between corporate cash holdings and tax net operating loss carryforwards (NOLs). The literature demonstrates that firms should distribute cash to shareholders rather than retain it and generate passive investment income taxed at both corporate and investor levels. However, if the firm’s tax rate on passive income is lower than shareholders’—as when the firm has NOLs—theory also shows that the firm should retain cash and invest on the shareholders’ behalf. Consistent with this, we find that NOLs are associated with higher levels of savings; firms save an additional $0.12 to $0.17 per dollar of tax-effected NOL benefit. Furthermore, investors place a higher value on corporate cash in tax loss firms, consistent with NOLs increasing the after-tax returns on passive investments. The paper adds to the literature studying corporate financial policy responses to taxation and quantifies the role of NOLs in corporate savings decisions.",,
Zhi,Da,University of Notre Dame,Finance,No,,"Using novel data from a crowdsourcing platform for ranking stocks, we investigate how investors form expectations about stock returns over the next week. We find that investors extrapolate from stocks’ recent past returns, with more weight on more recent returns, especially when recent returns are negative, salient, or from a dispersed cross-section. Such extrapolative beliefs are stronger among nonprofessionals and large stocks. Moreover, consensus rankings negatively predict returns over the next week, more so among stocks with low institutional ownership and a high degree of extrapolation. A trading strategy that sorts stocks on investor beliefs generates an economically significant profit.","We track information diffusion in real time by monitoring how the news is tweeted and retweeted on Twitter. We find that news diffusion is highly correlated with intraday trading, especially for retail trading. News diffusion leads to a lower bid-ask spread and price pressure on the news day that is completely reverted the next day. The result is robust when we employ an instrumental variables approach. Our results show that information diffusion via Twitter does not incorporate new information into the stock price. Rather, Twitter spreads stale news, albeit at a much higher speed than traditional media.","When will a large group provide an accurate answer to a question involving quantity estimation? We empirically examine this question on a crowd-based corporate earnings forecast platform (Estimize.com). By tracking user activities, we monitor the amount of public information a user views before making an earnings forecast. We find that the more public information users view, the less weight they put on their own private information. Although this improves the accuracy of individual forecasts, it reduces the accuracy of the group consensus forecast because useful private information is prevented from entering the consensus. To address endogeneity concerns related to a user’s information acquisition choice, we collaborate with Estimize.com to run experiments that restrict the information available to randomly selected stocks and users. The experiments confirm that “independent” forecasts result in a more accurate …",,
Jerry,Hoberg,USC,Finance,No,,"This paper examines startups’ positioning within technological cycles. We use patent text to measure whether innovation pertains to a technological area that is rapidly evolving or stable. We show that innovation in rapidly evolving areas (i.e., early in the cycle) substitute for existing technologies, whereas innovation in stable areas (i.e., later in the cycle) complement them. Our new measure is distinct from existing characterizations of innovation and is economically important. We find that startups in rapidly evolving areas tend to exit via initial public offering, thus remaining independent, consistent with technological substitution. In contrast, startups in stable areas tend to sell out, consistent with technological complementarity and synergies.","We develop a novel 10-K text-based model of product life cycles and examine firm investment policies. Conditioning on the life cycle substantially improves the power of Q to explain investment, and reveals a natural ordering of investments over the life cycle. While R&D and CAPX sensitivity are high early in the cycle, acquisitions arise as firms mature, and divestitures and product extension investments arise as firms decline. Resulting Q sensitivities are remarkably heterogeneous over the cycle, and are even negative in some cases. These life cycle effects are economically larger than those attributable to competition, and are stronger in recent years.","We use computational linguistics to develop a dynamic, interpretable methodology that can detect emerging risks in the financial sector. Our model can predict heightened risk exposures as early as mid-2005, well in advance of the 2008 financial crisis. Risks related to real estate, prepayment, and commercial paper are elevated. Individual bank exposure strongly predicts returns, bank failures, and return volatility. We also document a rise in market instability since 2014 related to sources of funding and mergers and acquisitions. Overall, our model predicts the buildup of emerging risk in the financial system and bank-specific exposures in a timely fashion",,
